rgn_id,trend_lm,year,ico_trend
173,9.090909090908451e-4,2005,0.00455
174,-0.002586666666666573,2005,-0.01293
175,-4.218181818181267e-4,2005,-0.00211
176,-4.620606060605997e-4,2005,-0.00231
177,0.0029090909090907623,2005,0.01455
178,-0.0027709090909089945,2005,-0.01385
179,2.2981818181818457e-4,2005,0.00115
180,-1.2256000472123237e-17,2005,-0
181,-2.4512000944246474e-17,2005,-0
182,7.272727272726661e-4,2005,0.00364
183,5.599999999999855e-4,2005,0.0028
184,8.552727272727216e-4,2005,0.00428
185,0.003636363636363453,2005,0.01818
186,0.001118545454545424,2005,0.00559
187,0.0011185454545453671,2005,0.00559
188,-0.0014545454545454057,2005,-0.00727
189,-0.0027709090909090197,2005,-0.01385
190,-0.005818181818181404,2005,-0.02909
191,-0.003423030303030049,2005,-0.01712
192,-0.005818181818181404,2005,-0.02909
193,-6.923636363635941e-4,2005,-0.00346
194,0.0012130909090908451,2005,0.00607
195,-7.461818181817907e-4,2005,-0.00373
196,-8.072727272726913e-4,2005,-0.00404
197,-0.0013221818181817406,2005,-0.00661
198,-0.001211636363636302,2005,-0.00606
199,-0.002423272727272628,2005,-0.01212
200,-5.381818181818081e-4,2005,-0.00269
202,-0.001786181818181719,2005,-0.00893
203,-0.00484896969696938,2005,-0.02424
204,-0.005134060606060292,2005,-0.02567
205,-0.0025517575757574157,2005,-0.01276
206,-0.001543272727272644,2005,-0.00772
207,-9.241212121211391e-4,2005,-0.00462
208,-0.0012926060606059753,2005,-0.00646
209,-0.004102303030302758,2005,-0.02051
210,-0.0018642424242423486,2005,-0.00932
212,-0.003136969696969472,2005,-0.01568
213,-2.4512000944246474e-17,2005,-0
214,-2.695757575757578e-4,2005,-0.00135
215,-0.01939393939393797,2005,-0.09697
216,-0.0013042424242423409,2005,-0.00652
218,1.5709090909086555e-4,2005,7.9e-4
219,0.002424727272727127,2005,0.01212
220,-0.0010385454545453667,2005,-0.00519
221,-0.0010385454545453667,2005,-0.00519
222,-4.8484848484847237e-4,2005,-0.00242
223,8.552727272726896e-4,2005,0.00428
224,8.552727272726859e-4,2005,0.00428
227,0.004155636363636137,2005,0.02078
228,0.004155636363636137,2005,0.02078
231,-0.0016164848484847183,2005,-0.00808
232,0.0018181818181817668,2005,0.00909
244,-9.701818181818017e-4,2005,-0.00485
245,-0.0010385454545453912,2005,-0.00519
247,-0.001213090909090849,2005,-0.00607
248,-0.0010385454545453912,2005,-0.00519
249,-0.0010385454545453912,2005,-0.00519
250,-9.701818181817378e-4,2005,-0.00485
1,-0.001958727272727277,2006,-0.00979
2,-0.0025454545454545435,2006,-0.01273
3,-0.00282799999999997,2006,-0.01414
5,-0.0024474545454545114,2006,-0.01224
6,-0.002679090909090895,2006,-0.0134
7,-0.003181818181818149,2006,-0.01591
8,-0.002245090909090876,2006,-0.01123
9,-0.003535636363636293,2006,-0.01768
10,-0.0033943636363635917,2006,-0.01697
11,-0.00397727272727266,2006,-0.01989
12,-0.004241999999999944,2006,-0.02121
13,-0.0023863636363636014,2006,-0.01193
14,-0.0019090909090908636,2006,-0.00955
15,-0.0017359999999999596,2006,-0.00868
16,-7.319999999999713e-4,2006,-0.00366
17,-0.0016609090909090905,2006,-0.0083
18,-0.0031818181818181602,2006,-0.01591
19,-0.003977272727272684,2006,-0.01989
20,-0.00727363636363626,2006,-0.03637
21,-0.0021216363636363646,2006,-0.01061
24,-0.002386363636363613,2006,-0.01193
25,-0.002121636363636345,2006,-0.01061
28,-0.0031818181818181884,2006,-0.01591
29,-0.0038181818181818135,2006,-0.01909
30,2.2727272727272147e-4,2006,0.00114
31,-0.002727454545454525,2006,-0.01364
32,0.0013229090909090502,2006,0.00661
33,2.2727272727272147e-4,2006,0.00114
34,2.2727272727272147e-4,2006,0.00114
35,2.2727272727272147e-4,2006,0.00114
36,2.2727272727272147e-4,2006,0.00114
37,-0.001060181818181833,2006,-0.0053
38,-0.00254545454545452,2006,-0.01273
39,-0.0016965454545454365,2006,-0.00848
40,-0.0026803636363636075,2006,-0.0134
41,-0.0018187272727272278,2006,-0.00909
42,-0.002009636363636298,2006,-0.01005
43,-0.002121636363636333,2006,-0.01061
44,-0.0014139999999999728,2006,-0.00707
45,-0.003393090909090877,2006,-0.01697
46,-0.0021216363636363564,2006,-0.01061
47,-0.005989454545454484,2006,-0.02995
48,-0.004772727272727219,2006,-0.02386
49,-0.0023150909090908934,2006,-0.01158
50,-0.007273636363636312,2006,-0.03637
51,-0.008485272727272668,2006,-0.04243
52,-0.010181818181818085,2006,-0.05091
53,-0.004241999999999956,2006,-0.02121
54,-0.006363636363636324,2006,-0.03182
56,1.2256000472122437e-17,2006,0
59,0.0016167272727272764,2006,0.00808
60,0.0011185454545454493,2006,0.00559
61,1.6527272727274723e-4,2006,8.3e-4
62,9.563636363635065e-5,2006,4.8e-4
63,9.701818181818149e-4,2006,0.00485
64,-7.076363636363353e-4,2006,-0.00354
65,-6.07090909090903e-4,2006,-0.00304
66,-4.72181818181797e-4,2006,-0.00236
67,1.5145454545452245e-4,2006,7.6e-4
68,9.694545454545437e-4,2006,0.00485
