iucn_sid,sciname
55172,Ranitomeya amazonica
88951650,Pseudopaludicola boliviana
55110,Allobates marchesianus
57312,Pseudopaludicola ceratophyes
57235,Phyllonastes myrmecoides
55291,Cruziohyla craspedopus
55368,Hemiphractus helioi
58163,Pipa pipa
58018,Synapturanus salseri
58016,Synapturanus mirandaribeiroi
78584817,Ranitomeya toraro
57937,Otophryne pyburni
57821,Hamptophryne boliviana
57801,Ctenophryne geayi
57751,Chiasmocleis bassleri
57757,Chiasmocleis hudsoni
55920,Scarthyla goinorum
136043,Ranitomeya uakarii
56013,Sphaenorhynchus carneus
56014,Sphaenorhynchus dorisae
59589,Potomotyphlus kaupii
79076001,Boana maculateralis
79427300,Trachycephalus cunauaru
154039927,Dendropsophus ozzyi
81659800,Bolitoglossa tapajonica
78586080,Scinax sateremawe
81659538,Bolitoglossa caldwellae
81663401,Bolitoglossa paraensis
78911222,Elachistocleis magna
79680376,Scinax villasboasi
79096936,Microcaecilia marvaleewakeae
78520361,Microcaecilia butantan
78575926,Proceratophrys rondonae
81659704,Bolitoglossa madeira
78586620,Trachycephalus helioi
77187165,Allobates grillisimilis
77187168,Allobates hodli
77187357,Allobates magnussoni
77319783,Anomaloglossus apiau
77320288,Anomaloglossus tepequem
78457527,Chiasmocleis haddadi
78457623,Chiasmocleis papachibe
78457733,Chiasmocleis royi
78458631,Chiasmocleis supercilialba
78903640,Dendropsophus salli
191003,Scinax iquitorum
18435489,Elachistocleis carvalhoi
87736742,Rhinella nattereri
87739774,Dendropsophus counani
55513,Dryaderces inframaculata
55324252,Vitreorana ritae
55563,Dendropsophus minimus
55511,Hyla imitator
201029146,Hyalinobatrachium iaspidiense
55068,Allobates conspicuus
55088,Allobates fuscellus
55197,Adelphobates quinquevittatus
55206,Ranitomeya vanzolinii
55226,Ameerega macero
55521,Dendropsophus joannae
56555,Pristimantis delius
57673,Hamptophryne alios
61768,Hyloxalus chlorocraspedus
136155,Engystomops freibergi
43152318,Ranitomeya sirensis
91949971,Allobates bacurau
91950132,Boana diabolica
55424,Dendropsophus cachimbo
55536,Boana leucocheila
55677,Dendropsophus tintinnabulum
172132927,Pristimantis dundeei
55085,Leucostethus fugax
135996,Nymphargus laurae
55995,Scinax similis
56355,Crossodactylus schmidti
174251558,Leptodactylus mystacinus
57239,Physalaemus albonotatus
57804,Dermatonotus muelleri
55156,Anomaloglossus tamacuarensis
55954,Scinax exiguus
57165,Leptodactylus sabanensis
