iucn_sid,sciname,main_common_name,published_year,old_cat,criteria,cat,cat_score,iucn_version
195675,Anarchias supremus,NA,2019,DD,NA,DD,NA,2020-3
195678,Diaphenchelys pelonates,Mud-dwelling Moray,2019,DD,NA,DD,NA,2020-3
195679,Echidna amblyodon,NA,2019,LC,NA,LC,0,2020-3
195680,Echidna catenata,Chain Moray,2015,LC,NA,LC,0,2020-3
195682,Echidna leucotaenia,White-banded Moray Eel,2019,LC,NA,LC,0,2020-3
195683,Echidna nebulosa,Snowflake Eel,2019,LC,NA,LC,0,2020-3
195684,Echidna peli,Pebbletooth Moray,2015,LC,NA,LC,0,2020-3
195686,Echidna unicolor,Pale Moray,2019,LC,NA,LC,0,2020-3
195688,Enchelycore anatina,Fangtooth Moray,2015,LC,NA,LC,0,2020-3
195689,Enchelycore bayeri,Bowmouth Moray,2019,LC,NA,LC,0,2020-3
195690,Enchelycore bikiniensis,Bikini Moray,2019,LC,NA,LC,0,2020-3
195691,Enchelycore carychroa,Caribbean Chestnut Moray,2015,LC,NA,LC,0,2020-3
195692,Enchelycore kamara,Dark-spotted Moray,2019,LC,NA,LC,0,2020-3
195693,Enchelycore lichenosa,Reticulate Hookjaw Moray,2019,LC,NA,LC,0,2020-3
195694,Enchelycore nigricans,Viper Moray,2015,LC,NA,LC,0,2020-3
195695,Enchelycore nycturanus,NA,2019,DD,NA,DD,NA,2020-3
195696,Enchelycore pardalis,Dragon Moray,2019,LC,NA,LC,0,2020-3
195697,Enchelycore ramosa,Mosaic Moray,2019,LC,NA,LC,0,2020-3
195700,Gymnomuraena zebra,Zebra Moray,2019,LC,NA,LC,0,2020-3
195701,Gymnothorax afer,Dark Moray,2015,LC,NA,LC,0,2020-3
195702,Gymnothorax albimarginatus,White-edged Moray,2019,LC,NA,LC,0,2020-3
195704,Gymnothorax annasona,Lord Howe Island Moray,2019,LC,NA,LC,0,2020-3
195706,Gymnothorax australicola,South Pacific Moray,2019,LC,NA,LC,0,2020-3
195707,Gymnothorax austrinus,NA,2019,DD,NA,DD,NA,2020-3
195708,Gymnothorax bacalladoi,NA,2015,DD,NA,DD,NA,2020-3
195709,Gymnothorax baranesi,NA,2019,LC,NA,LC,0,2020-3
195710,Gymnothorax bathyphilus,NA,2019,LC,NA,LC,0,2020-3
195711,Gymnothorax berndti,Berndt's Moray,2019,LC,NA,LC,0,2020-3
195712,Gymnothorax breedeni,Masked Moray,2019,LC,NA,LC,0,2020-3
195714,Gymnothorax castlei,Castle's Moray,2019,LC,NA,LC,0,2020-3
195715,Gymnothorax cephalospilus,Head-spot Moray,2019,LC,NA,LC,0,2020-3
195716,Gymnothorax chilospilus,Lipspot Moray,2019,LC,NA,LC,0,2020-3
195717,Gymnothorax chlamydatus,Banded Mud Moray,2019,LC,NA,LC,0,2020-3
195718,Gymnothorax conspersus,Saddled Moray,2019,LC,NA,LC,0,2020-3
195719,Gymnothorax cribroris,Australian Moray,2019,LC,NA,LC,0,2020-3
195720,Strophidon dorsalis,NA,2019,LC,NA,LC,0,2020-3
195721,Gymnothorax elegans,Goldsborough's Moray Eel,2019,LC,NA,LC,0,2020-3
195722,Gymnothorax enigmaticus,Enigmatic Moray,2019,LC,NA,LC,0,2020-3
195723,Gymnothorax eurostus,Salt and Pepper Moray,2019,LC,NA,LC,0,2020-3
195726,Gymnothorax favagineus,Tessellate Moray,2019,LC,NA,LC,0,2020-3
195727,Gymnothorax fimbriatus,Fimbriated Moray,2019,LC,NA,LC,0,2020-3
195728,Gymnothorax flavimarginatus,Yellow Edged Moray,2019,LC,NA,LC,0,2020-3
195729,Gymnothorax flavoculus,Palenose Moray,2019,LC,NA,LC,0,2020-3
195730,Gymnothorax formosus,NA,2019,LC,NA,LC,0,2020-3
195731,Gymnothorax funebris,Green Moray,2015,LC,NA,LC,0,2020-3
195732,Gymnothorax fuscomaculatus,Freckled Moray,2019,LC,NA,LC,0,2020-3
195733,Gymnothorax gracilicauda,Slendertail Moray,2019,LC,NA,LC,0,2020-3
195734,Gymnothorax griseus,Geometric Moray,2019,LC,NA,LC,0,2020-3
195735,Gymnothorax hansi,NA,2019,DD,NA,DD,NA,2020-3
195736,Gymnothorax hepaticus,Liver-colored Moray Eel,2019,LC,NA,LC,0,2020-3
195737,Gymnothorax herrei,Palechin Moray,2019,LC,NA,LC,0,2020-3
195738,Gymnothorax hubbsi,Lichen Moray,2015,LC,NA,LC,0,2020-3
195740,Gymnothorax isingteena,Spotted Moray,2019,LC,NA,LC,0,2020-3
195741,Gymnothorax javanicus,Giant Moray,2019,LC,NA,LC,0,2020-3
195742,Gymnothorax johnsoni,Whitespotted Moray,2019,LC,NA,LC,0,2020-3
195743,Gymnothorax kidako,Kidako Moray,2019,LC,NA,LC,0,2020-3
195744,Gymnothorax kolpos,Blacktail Moray,2015,LC,NA,LC,0,2020-3
195745,Gymnothorax kontodontos,Short-tooth Moray,2019,LC,NA,LC,0,2020-3
195746,Gymnothorax longinquus,Brown Moray-eel,2019,LC,NA,LC,0,2020-3
195748,Gymnothorax mareei,Spotjaw Moray,2015,LC,NA,LC,0,2020-3
195749,Gymnothorax margaritophorus,Blackpearl Moray,2019,LC,NA,LC,0,2020-3
195750,Gymnothorax marshallensis,Marshall Islands Moray,2019,LC,NA,LC,0,2020-3
195751,Gymnothorax mccoskeri,Manyband Moray,2019,LC,NA,LC,0,2020-3
195752,Gymnothorax megaspilus,Oman Moray,2019,LC,NA,LC,0,2020-3
195753,Gymnothorax melatremus,Golden Moray,2019,LC,NA,LC,0,2020-3
195754,Gymnothorax meleagris,Painted Moray,2019,LC,NA,LC,0,2020-3
195755,Gymnothorax microstictus,Smallspot Moray,2019,LC,NA,LC,0,2020-3
195756,Gymnothorax miliaris,Bastard Eel,2015,LC,NA,LC,0,2020-3
195757,Gymnothorax minor,Lesser Moray,2019,LC,NA,LC,0,2020-3
195758,Gymnothorax moluccensis,Moluccan Moray,2019,LC,NA,LC,0,2020-3
195759,Gymnothorax monochrous,Monochrome Moray,2019,LC,NA,LC,0,2020-3
195760,Gymnothorax monostigma,One-spot Moray,2019,LC,NA,LC,0,2020-3
195761,Gymnothorax mordax,California Moray,2019,LC,NA,LC,0,2020-3
195762,Gymnothorax moringa,Spotted Moray,2015,LC,NA,LC,0,2020-3
195764,Gymnothorax neglectus,NA,2019,LC,NA,LC,0,2020-3
195766,Gymnothorax niphostigmus,Snowflake-patched Moray,2019,LC,NA,LC,0,2020-3
195767,Gymnothorax nubilus,Cloudy Moray,2019,LC,NA,LC,0,2020-3
195768,Gymnothorax nudivomer,Starry Moray,2019,LC,NA,LC,0,2020-3
195769,Gymnothorax nuttingi,Nutting's Moray,2019,LC,NA,LC,0,2020-3
195770,Gymnothorax obesus,Obese Moray,2019,LC,NA,LC,0,2020-3
195771,Gymnothorax ocellatus,Caribbean Ocellated Moray,2015,LC,NA,LC,0,2020-3
195773,Gymnothorax phasmatodes,Ghost Moray Eel,2019,LC,NA,LC,0,2020-3
195774,Gymnothorax philippinus,NA,2019,LC,NA,LC,0,2020-3
195775,Gymnothorax pictus,Bar-cheeked Eel,2019,LC,NA,LC,0,2020-3
195776,Gymnothorax pikei,Pike's Moray,2019,LC,NA,LC,0,2020-3
195777,Gymnothorax pindae,Pinda Moray,2019,LC,NA,LC,0,2020-3
195779,Gymnothorax polyspondylus,Many Vertebrae Moray,2019,DD,NA,DD,NA,2020-3
195781,Gymnothorax prasinus,Southern Green Moray,2019,LC,NA,LC,0,2020-3
195782,Gymnothorax prionodon,Australian Mottled Moray,2019,LC,NA,LC,0,2020-3
195783,Gymnothorax prismodon,Sawtooth Moray,2019,LC,NA,LC,0,2020-3
195784,Gymnothorax prolatus,NA,2019,DD,NA,DD,NA,2020-3
195785,Gymnothorax pseudoherrei,False Brown Moray,2019,LC,NA,LC,0,2020-3
195786,Gymnothorax pseudothyrsoideus,False Spotted Moray,2019,LC,NA,LC,0,2020-3
195788,Gymnothorax punctatus,Red Sea Whitespotted Moray,2019,LC,NA,LC,0,2020-3
195789,Gymnothorax randalli,NA,2019,DD,NA,DD,NA,2020-3
195792,Gymnothorax richardsonii,Richardson's Moray,2019,LC,NA,LC,0,2020-3
195793,Gymnothorax robinsi,Pygmy Moray,2019,LC,NA,LC,0,2020-3
195795,Gymnothorax sagmacephalus,NA,2019,DD,NA,DD,NA,2020-3
195796,Gymnothorax saxicola,Honeycomb Moray,2015,LC,NA,LC,0,2020-3
195797,Gymnothorax shaoi,NA,2019,DD,NA,DD,NA,2020-3
195798,Gymnothorax sokotrensis,NA,2019,DD,NA,DD,NA,2020-3
195799,Gymnothorax steindachneri,Steindachner's Moray Eel,2019,LC,NA,LC,0,2020-3
195801,Gymnothorax thyrsoideus,Greyface Moray,2019,LC,NA,LC,0,2020-3
195802,Gymnothorax tile,Indian Mud Moray,2019,LC,NA,LC,0,2020-3
195803,Gymnothorax undulatus,Undulated Moray,2019,LC,NA,LC,0,2020-3
195804,Gymnothorax vagrans,NA,2019,DD,NA,DD,NA,2020-3
195805,Gymnothorax vicinus,Brown Conger,2015,LC,NA,LC,0,2020-3
195806,Gymnothorax woodwardi,Western Moray,2019,LC,NA,LC,0,2020-3
195807,Gymnothorax ypsilon,Y-bar Moray,2019,LC,NA,LC,0,2020-3
195808,Gymnothorax zonipectis,Barred-fin Moray,2019,LC,NA,LC,0,2020-3
195810,Muraena augusti,Morena,2015,LC,NA,LC,0,2020-3
195811,Muraena pavonina,Whitespot Moray,2015,LC,NA,LC,0,2020-3
195812,Muraena retifera,Reticulate Moray,2015,LC,NA,LC,0,2020-3
195813,Muraena robusta,Stout Moray,2015,LC,NA,LC,0,2020-3
195814,Pseudechidna brummeri,Brummer's Moray,2019,LC,NA,LC,0,2020-3
195815,Scuticaria okinawae,Bennett's Moray,2019,LC,NA,LC,0,2020-3
195816,Scuticaria tigrina,Spotted Snake Moray,2019,LC,NA,LC,0,2020-3
195818,Uropterygius concolor,Brown Moray Eel,2019,LC,NA,LC,0,2020-3
195819,Uropterygius fasciolatus,Barred Snake Moray,2019,LC,NA,LC,0,2020-3
195820,Uropterygius genie,NA,2019,DD,NA,DD,NA,2020-3
195821,Uropterygius golanii,NA,2019,DD,NA,DD,NA,2020-3
195822,Uropterygius inornatus,Black Snake Moray,2019,LC,NA,LC,0,2020-3
195823,Uropterygius kamar,Barlip Reef-eel,2019,LC,NA,LC,0,2020-3
195824,Uropterygius macrocephalus,Largehead Moray,2019,LC,NA,LC,0,2020-3
195825,Uropterygius macularius,Marbled Moray,2015,LC,NA,LC,0,2020-3
195826,Uropterygius marmoratus,Marbled Moray,2019,LC,NA,LC,0,2020-3
195827,Uropterygius micropterus,Shortfinned Reef-eel,2019,LC,NA,LC,0,2020-3
195828,Uropterygius nagoensis,NA,2019,LC,NA,LC,0,2020-3
195829,Uropterygius polyspilus,Large-spotted Snake Moray,2019,LC,NA,LC,0,2020-3
195830,Uropterygius supraforatus,Manytoothed Snake Moray,2019,LC,NA,LC,0,2020-3
195831,Uropterygius xanthopterus,Freckleface Reef-eel,2019,LC,NA,LC,0,2020-3
195832,Uropterygius xenodontus,Strange-toothed Snake Moray,2019,LC,NA,LC,0,2020-3
195833,Myroconger compressus,Red Eel,2015,DD,NA,DD,NA,2020-3
195838,Aldrovandia phalacra,Hawaiian Halosaurid Fish,2015,LC,NA,LC,0,2020-3
195839,Aldrovandia rostrata,NA,2015,LC,NA,LC,0,2020-3
195840,Halosauropsis macrochir,Abyssal Halosaur,2015,LC,NA,LC,0,2020-3
195841,Halosaurus attenuatus,NA,2015,LC,NA,LC,0,2020-3
195843,Halosaurus johnsonianus,Halosaur,2015,LC,NA,LC,0,2020-3
195844,Halosaurus ovenii,Oven's Halosaur,2015,LC,NA,LC,0,2020-3
195852,Notacanthus chemnitzii,Cosmopolitan Spineback,2015,LC,NA,LC,0,2020-3
195857,Gymnothorax rueppelliae,Rüppell's Moray Eel,2019,LC,NA,LC,0,2020-3
195871,Bathygobius antilliensis,Antilles Frillfin,2015,LC,NA,LC,0,2020-3
195872,Bathygobius lacertus,Checkerboard Frillfin Goby,2015,LC,NA,LC,0,2020-3
195873,Elacatinus colini,Belize Sponge Goby,2015,LC,NA,LC,0,2020-3
195874,Elacatinus lobeli,Caribbean Neon Goby,2015,NT,NA,NT,0.2,2020-3
195875,Elacatinus serranilla,Serranilla Goby,2015,LC,NA,LC,0,2020-3
195877,Ptereleotris randalli,Brazilian Dartfish,2015,LC,NA,LC,0,2020-3
195879,Derilissus nanus,Dwarf Clingfish,2015,DD,NA,DD,NA,2020-3
195880,Tomicodon briggsi,Broadhead Clingfish,2015,LC,NA,LC,0,2020-3
195881,Tomicodon reitzae,Reitz's Clingfish,2015,LC,NA,LC,0,2020-3
195883,Eucinostomus havana,Bigeye Mojarra,2015,LC,NA,LC,0,2020-3
195884,Gramma dejongi,Cuban Gramma,2015,DD,NA,DD,NA,2020-3
195885,Apogon axillaris,NA,2015,LC,NA,LC,0,2020-3
195886,Apogon imberbis,Cardinal Fish,2015,LC,NA,LC,0,2020-3
196012,Gerres simillimus,NA,2010,LC,NA,LC,0,2020-3
196013,Eptatretus alastairi,NA,2011,LC,NA,LC,0,2020-3
196014,Eptatretus astrolabium,NA,2011,DD,NA,DD,NA,2020-3
196015,Eptatretus bischoffii,Anguila Babosa,2011,DD,NA,DD,NA,2020-3
196016,Eptatretus burgeri,Inshore Hagfish,2011,NT,NA,NT,0.2,2020-3
196017,Eptatretus caribbeaus,NA,2011,LC,NA,LC,0,2020-3
196018,Eptatretus carlhubbsi,NA,2011,LC,NA,LC,0,2020-3
196019,Eptatretus deani,Black Hagfish,2011,DD,NA,DD,NA,2020-3
196020,Eptatretus eos,NA,2011,DD,NA,DD,NA,2020-3
196021,Eptatretus fernholmi,NA,2011,DD,NA,DD,NA,2020-3
196022,Eptatretus fritzi,Guadalupe Hagfish,2011,LC,NA,LC,0,2020-3
196023,Eptatretus goliath,Goliath Hagfish,2011,DD,NA,DD,NA,2020-3
196024,Eptatretus gomoni,NA,2011,LC,NA,LC,0,2020-3
196025,Eptatretus grouseri,NA,2011,LC,NA,LC,0,2020-3
196026,Eptatretus hexatrema,Sixgill Hagfish,2011,LC,NA,LC,0,2020-3
196027,Eptatretus indrambaryai,NA,2011,LC,NA,LC,0,2020-3
196028,Eptatretus lakeside,NA,2011,DD,NA,DD,NA,2020-3
196029,Eptatretus laurahubbsae,NA,2011,LC,NA,LC,0,2020-3
196030,Eptatretus longipinnis,Longfin Hagfish,2011,VU,B2ab(iii),VU,0.4,2020-3
196031,Eptatretus lopheliae,NA,2011,DD,NA,DD,NA,2020-3
196032,Eptatretus mcconnaugheyi,Shorthead Hagfish,2011,DD,NA,DD,NA,2020-3
196033,Eptatretus mccoskeri,NA,2011,LC,NA,LC,0,2020-3
196034,Eptatretus menezesi,NA,2011,LC,NA,LC,0,2020-3
196035,Eptatretus minor,NA,2011,DD,NA,DD,NA,2020-3
196036,Eptatretus multidens,NA,2011,LC,NA,LC,0,2020-3
196037,Eptatretus nanii,NA,2011,DD,NA,DD,NA,2020-3
196038,Eptatretus octatrema,Eightgilled Hagfish,2011,CR,B1ab(iii),CR,0.8,2020-3
196039,Eptatretus okinoseanus,NA,2011,LC,NA,LC,0,2020-3
196040,Eptatretus polytrema,Fourteen-gill Hagfish,2011,DD,NA,DD,NA,2020-3
196041,Eptatretus profundus,Fivegill Hagfish,2011,LC,NA,LC,0,2020-3
196042,Eptatretus rubicundus,NA,2011,DD,NA,DD,NA,2020-3
196043,Eptatretus sinus,Cortez Hagfish,2011,LC,NA,LC,0,2020-3
196044,Eptatretus stoutii,Pacific Hagfish,2011,DD,NA,DD,NA,2020-3
196045,Eptatretus strahani,NA,2011,DD,NA,DD,NA,2020-3
196046,Eptatretus strickrotti,Strickrott's Hagfish,2011,LC,NA,LC,0,2020-3
196047,Eptatretus wisneri,NA,2011,LC,NA,LC,0,2020-3
196049,Myxine affinis,Patagonian Hagfish,2011,LC,NA,LC,0,2020-3
196050,Myxine australis,Southern Hagfish,2011,LC,NA,LC,0,2020-3
196051,Myxine capensis,Cape Hagfish,2011,LC,NA,LC,0,2020-3
196052,Myxine circifrons,Whiteface Hagfish,2011,LC,NA,LC,0,2020-3
196053,Myxine debueni,NA,2011,DD,NA,DD,NA,2020-3
196054,Myxine fernholmi,NA,2011,LC,NA,LC,0,2020-3
196055,Myxine formosana,NA,2011,DD,NA,DD,NA,2020-3
196056,Myxine garmani,NA,2011,VU,A2bd,VU,0.4,2020-3
196057,Myxine glutinosa,Atlantic Hagfish,2011,LC,NA,LC,0,2020-3
196058,Myxine hubbsi,NA,2011,LC,NA,LC,0,2020-3
196059,Myxine hubbsoides,NA,2011,DD,NA,DD,NA,2020-3
196060,Myxine ios,White-headed Hagfish,2011,LC,NA,LC,0,2020-3
196061,Myxine jespersenae,Jespersen's hagfish,2011,LC,NA,LC,0,2020-3
196062,Myxine knappi,NA,2011,DD,NA,DD,NA,2020-3
196063,Myxine kuoi,NA,2011,DD,NA,DD,NA,2020-3
196064,Myxine mccoskeri,NA,2011,LC,NA,LC,0,2020-3
196065,Myxine mcmillanae,Caribbean Hagfish,2011,LC,NA,LC,0,2020-3
196066,Myxine paucidens,NA,2011,EN,B1ab(ii),EN,0.6,2020-3
196067,Myxine pequenoi,Dwarf Hagfish,2011,DD,NA,DD,NA,2020-3
196068,Myxine robinsorum,NA,2011,LC,NA,LC,0,2020-3
196069,Myxine sotoi,NA,2011,VU,B1ab(iii),VU,0.4,2020-3
196071,Nemamyxine elongata,NA,2011,DD,NA,DD,NA,2020-3
196072,Nemamyxine kreffti,NA,2011,NT,NA,NT,0.2,2020-3
196074,Neomyxine biniplicata,NA,2011,DD,NA,DD,NA,2020-3
196076,Notomyxine tridentiger,NA,2011,DD,NA,DD,NA,2020-3
196078,Paramyxine ancon,NA,2011,DD,NA,DD,NA,2020-3
196079,Paramyxine atami,NA,2011,DD,NA,DD,NA,2020-3
196080,Paramyxine cheni,NA,2011,VU,B1ab(iii),VU,0.4,2020-3
196081,Paramyxine chinensis,NA,2011,DD,NA,DD,NA,2020-3
196082,Paramyxine fernholmi,NA,2011,VU,B1ab(iii),VU,0.4,2020-3
196083,Paramyxine moki,NA,2011,DD,NA,DD,NA,2020-3
196084,Paramyxine nelsoni,NA,2011,VU,B1ab(iii),VU,0.4,2020-3
196085,Paramyxine sheni,NA,2011,LC,NA,LC,0,2020-3
196086,Paramyxine springeri,Gulf Hagfish,2011,LC,NA,LC,0,2020-3
196087,Paramyxine taiwanae,NA,2011,EN,"B1ab(iii,v)",EN,0.6,2020-3
196088,Paramyxine walkeri,NA,2011,DD,NA,DD,NA,2020-3
196090,Paramyxine wisneri,NA,2011,LC,NA,LC,0,2020-3
196091,Paramyxine yangi,NA,2011,LC,NA,LC,0,2020-3
196301,Anguilla megastoma,Pacific Long-finned Eel,2020,DD,NA,DD,NA,2020-3
196302,Anguilla obscura,Pacific Shortfin Eel,2020,DD,NA,DD,NA,2020-3
196303,Anguilla reinhardtii,Australian Longfin Eel,2019,LC,NA,LC,0,2020-3
196305,Apogon amboinensis,Ambon Cardinalfish,2012,DD,NA,DD,NA,2020-3
196307,Meiacanthus anema,Threadless Blenny,2012,DD,NA,DD,NA,2020-3
196308,Omobranchus ferox,Gossamer Blenny,2012,LC,NA,LC,0,2020-3
196310,Omox biporos,Omox Blenny,2012,DD,NA,DD,NA,2020-3
196312,Belobranchus belobranchus,Throatspine Gudgeon,2012,DD,NA,DD,NA,2020-3
196313,Butis amboinensis,Ambon Gudgeon,2019,LC,NA,LC,0,2020-3
196314,Butis gymnopomus,Striped Crazy Fish,2019,LC,NA,LC,0,2020-3
196315,Eleotris acanthopomus,Spine-cheek Gudgeon,2012,LC,NA,LC,0,2020-3
196317,Giuris margaritacea,Snakehead Gudgeon,2019,LC,NA,LC,0,2020-3
196318,Stolephorus indicus,Indian Anchovy,2017,LC,NA,LC,0,2020-3
196319,Thryssa baelama,Baelama Anchovy,2017,LC,NA,LC,0,2020-3
196324,Awaous acritosus,Roman Nose Goby,2019,LC,NA,LC,0,2020-3
196327,Glossogobius bicirrhosus,Bearded Flathead Goby,2019,LC,NA,LC,0,2020-3
196328,Glossogobius celebius,Celebes Goby,2019,LC,NA,LC,0,2020-3
196334,Mangarinus waterousi,NA,2012,DD,NA,DD,NA,2020-3
196335,Mugilogobius cavifrons,Bandfin Mangrove Goby,2019,LC,NA,LC,0,2020-3
196336,Mugilogobius notospilus,Pacific Mangrove Goby,2012,LC,NA,LC,0,2020-3
196337,Mugilogobius fusculus,Obscure Mangrove Goby,2012,DD,NA,DD,NA,2020-3
196338,Oligolepis stomias,Plain Teardrop Goby,2012,DD,NA,DD,NA,2020-3
196339,Parioglossus formosus,NA,2012,LC,NA,LC,0,2020-3
196341,Parioglossus lineatus,NA,2012,DD,NA,DD,NA,2020-3
196342,Parioglossus marginalis,Dart Goby,2014,DD,NA,DD,NA,2020-3
196343,Parioglossus palustris,NA,2012,LC,NA,LC,0,2020-3
196344,Parioglossus rainfordi,NA,2012,LC,NA,LC,0,2020-3
196345,Parioglossus raoi,Yellow Dartfish,2012,LC,NA,LC,0,2020-3
196347,Parioglossus triquetrus,NA,2012,DD,NA,DD,NA,2020-3
196348,Periophthalmus argentilineatus,Barred Mudskipper,2019,LC,NA,LC,0,2020-3
196349,Periophthalmus kalolo,Kalolo Mudskipper,2019,LC,NA,LC,0,2020-3
196350,Pseudogobius poicilosoma,Northern Fatnose Goby,2012,LC,NA,LC,0,2020-3
196351,Redigobius balteatus,Girdled Goby,2019,LC,NA,LC,0,2020-3
196352,Redigobius chrysosoma,Spotfin Goby,2019,LC,NA,LC,0,2020-3
196362,Sicyopterus cynocephalus,NA,2019,LC,NA,LC,0,2020-3
196364,Sicyopterus macrostetholepis,NA,2019,DD,NA,DD,NA,2020-3
196366,Sicyopterus micrurus,NA,2019,DD,NA,DD,NA,2020-3
196367,Sicyopterus ouwensi,NA,2012,DD,NA,DD,NA,2020-3
196371,Sicyopterus lagocephalus,NA,2019,LC,NA,LC,0,2020-3
196375,Sicyopus discordipinnis,NA,2019,LC,NA,LC,0,2020-3
196378,Sicyopus zosterophorus,NA,2019,LC,NA,LC,0,2020-3
196382,Stenogobius genivittatus,Chinstripe goby,2012,LC,NA,LC,0,2020-3
196384,Stenogobius keletaona,NA,2012,VU,D2,VU,0.4,2020-3
196385,Stenogobius laterisquamatus,River goby,2012,LC,NA,LC,0,2020-3
196403,Stiphodon rutilaureus,NA,2019,LC,NA,LC,0,2020-3
196405,Stiphodon semoni,NA,2019,LC,NA,LC,0,2020-3
196407,Taenioides cirratus,Whiskered Eel Goby,2012,DD,NA,DD,NA,2020-3
196408,Plectorhinchus gibbosus,Brown Sweetlips,2012,LC,NA,LC,0,2020-3
196409,Zenarchopterus caudovittatus,Longjaw River Garfish,2020,LC,NA,LC,0,2020-3
196410,Zenarchopterus gilli,Shortnose River Garfish,2012,LC,NA,LC,0,2020-3
196411,Kuhlia malo,NA,2012,DD,NA,DD,NA,2020-3
196412,Kuhlia mugil,NA,2012,LC,NA,LC,0,2020-3
196413,Kuhlia munda,Silver Flagtail,2012,DD,NA,DD,NA,2020-3
196417,Leiognathus equulus,Common Ponyfish,2017,LC,NA,LC,0,2020-3
196421,Crenimugil crenilabis,Fringelip Mullet,2017,LC,NA,LC,0,2020-3
196422,Crenimugil heterocheilos,Half Fringelip Mullet,2012,LC,NA,LC,0,2020-3
196426,Lamnostoma orientalis,Oriental Snake Eel,2012,LC,NA,LC,0,2020-3
196427,Lamnostoma polyophthalma,Ocellated Sand-eel,2012,LC,NA,LC,0,2020-3
196434,Rhyacichthys aspro,Loach Goby,2019,DD,NA,DD,NA,2020-3
196436,Siganus vermiculatus,Vermiculated Spinefoot,2012,LC,NA,LC,0,2020-3
196438,Pardachirus poropterus,Mottled Sole,2012,DD,NA,DD,NA,2020-3
196440,Hippichthys albomaculosus,NA,2017,DD,NA,DD,NA,2020-3
196441,Microphis argulus,Flat-nosed Pipefish ,2017,LC,NA,LC,0,2020-3
196445,Microphis mento,Red Pipefish,2016,LC,NA,LC,0,2020-3
196447,Mesopristes argenteus,Silver Grunter,2012,LC,NA,LC,0,2020-3
196448,Mesopristes cancellatus,Tapiroid Grunter,2012,LC,NA,LC,0,2020-3
196450,Tetraroge nigra,Freshwater waspfish,2012,LC,NA,LC,0,2020-3
196451,Toxotes jaculatrix,Banded Archerfish,2012,LC,NA,LC,0,2020-3
196671,Ijimaia antillarum,Jellynose,2019,LC,NA,LC,0,2020-3
196672,Opsanus pardus,Leopard Toadfish,2015,LC,NA,LC,0,2020-3
196673,Alosa chrysochloris,Skipjack Shad,2018,LC,NA,LC,0,2020-3
196674,Neoopisthopterus cubanus,Cuban Longfin Herring,2018,VU,"B2ab(i,ii,iii)",VU,0.4,2020-3
196677,Fundulus xenica,Diamond Killifish,2015,LC,NA,LC,0,2020-3
196678,Fundulus jenkinsi,Saltmarsh Topminnow,2015,VU,B2ab(iii),VU,0.4,2020-3
196679,Fundulus pulvereus,Bayou Killifish,2015,LC,NA,LC,0,2020-3
196680,Coryphaenoides mexicanus,Mexican Grenadier,2019,LC,NA,LC,0,2020-3
196681,Ogcocephalus declivirostris,Slantbrown Batfish,2015,LC,NA,LC,0,2020-3
196682,Oneirodes bradburyae,NA,2019,DD,NA,DD,NA,2020-3
196683,Gunterichthys longipenis,Gold Brotula,2015,LC,NA,LC,0,2020-3
196684,Parasaccogaster rhamphidognatha,NA,2019,DD,NA,DD,NA,2020-3
196686,Chasmodes longimaxilla,Longjaw Blenny,2014,LC,NA,LC,0,2020-3
196687,Hypleurochilus caudovittatus,Zebratail Blenny,2014,LC,NA,LC,0,2020-3
196688,Hypleurochilus multifilis,Featherduster Blenny,2014,LC,NA,LC,0,2020-3
196689,Microdesmus lanceolatus,Lancetail Wormfish,2015,LC,NA,LC,0,2020-3
196690,Cynoscion arenarius,Sand Seatrout,2020,LC,NA,LC,0,2020-3
196691,Exechodontes daidaleus,Outwardtoothed Eelpout,2019,LC,NA,LC,0,2020-3
196692,Lycenchelys bullisi,Gulf Eelpout,2019,LC,NA,LC,0,2020-3
196693,Gymnachirus texae,Gulf of Mexico Fringed Sole,2015,LC,NA,LC,0,2020-3
196694,Citharichthys abbotti,Veracruz Whiff,2015,LC,NA,LC,0,2020-3
196695,Prionotus longispinosus,Bigeye Searobin,2015,LC,NA,LC,0,2020-3
196696,Prionotus paralatus,Mexican Searobin,2015,LC,NA,LC,0,2020-3
196697,Eustomias leptobolus,NA,2019,DD,NA,DD,NA,2020-3
196806,Bagre marinus,Gafftopsail Sea Catfish,2015,LC,NA,LC,0,2020-3
196813,Carlarius heudelotii,Smoothmouth Sea Catfish,2015,LC,NA,LC,0,2020-3
196814,Carlarius latiscutatus,Rough-head Sea Catfish,2020,LC,NA,LC,0,2020-3
196815,Carlarius parkii,Guinean Sea Catfish,2020,LC,NA,LC,0,2020-3
196818,Cathorops arenatus,Yellow Sea Catfish,2015,LC,NA,LC,0,2020-3
196819,Cathorops belizensis,Belize Sea Catfish,2015,DD,NA,DD,NA,2020-3
196820,Cathorops higuchii,Higuchi's Sea Catfish,2015,LC,NA,LC,0,2020-3
196836,Cochlefelis danielsi,Daniel's Catfish,2020,LC,NA,LC,0,2020-3
196855,Doiichthys novaeguineae,Spoon-snouted Catfish,2020,DD,NA,DD,NA,2020-3
196864,Neoarius graeffei,Blue Salmon Catfish,2019,LC,NA,LC,0,2020-3
197010,Neoarius leptaspis,Salmon Catfish,2019,LC,NA,LC,0,2020-3
197011,Neoarius midgleyi,Silver Cobbler,2019,LC,NA,LC,0,2020-3
197018,Notarius grandicassis,Thomas Sea Catfish,2015,LC,NA,LC,0,2020-3
