country,year,value,unit,sector,data_source
Australia,2017,1409000,USD (1),aqf,FAO global trade
Australia,2018,1756000,USD (1),aqf,FAO global trade
Australia,2019,1563488.5,USD (1),aqf,FAO global trade
Australia,2020,827864.4,USD (1),aqf,FAO global trade
Australia,2021,1084103.3,USD (1),aqf,FAO global trade
Austria,1976,0,USD (1),aqf,FAO global trade
Austria,1977,0,USD (1),aqf,FAO global trade
Austria,1978,0,USD (1),aqf,FAO global trade
Austria,1979,0,USD (1),aqf,FAO global trade
Austria,1980,0,USD (1),aqf,FAO global trade
Austria,1981,0,USD (1),aqf,FAO global trade
Austria,1982,0,USD (1),aqf,FAO global trade
Austria,1983,0,USD (1),aqf,FAO global trade
Austria,1984,33000,USD (1),aqf,FAO global trade
Austria,1985,13000,USD (1),aqf,FAO global trade
Austria,1986,23000,USD (1),aqf,FAO global trade
Austria,1987,16000,USD (1),aqf,FAO global trade
Austria,1988,30000,USD (1),aqf,FAO global trade
Austria,1989,6000,USD (1),aqf,FAO global trade
Austria,1990,19000,USD (1),aqf,FAO global trade
Austria,1991,64000,USD (1),aqf,FAO global trade
Austria,1992,89000,USD (1),aqf,FAO global trade
Austria,1993,73000,USD (1),aqf,FAO global trade
Austria,1994,66000,USD (1),aqf,FAO global trade
Austria,1995,16000,USD (1),aqf,FAO global trade
Austria,1996,0,USD (1),aqf,FAO global trade
Austria,1997,1000,USD (1),aqf,FAO global trade
Austria,1998,0,USD (1),aqf,FAO global trade
Austria,1999,0,USD (1),aqf,FAO global trade
Austria,2000,0,USD (1),aqf,FAO global trade
Austria,2001,0,USD (1),aqf,FAO global trade
Austria,2002,0,USD (1),aqf,FAO global trade
Austria,2003,0,USD (1),aqf,FAO global trade
Austria,2004,0,USD (1),aqf,FAO global trade
Austria,2005,0,USD (1),aqf,FAO global trade
Austria,2006,6000,USD (1),aqf,FAO global trade
Austria,2007,0,USD (1),aqf,FAO global trade
Austria,2008,71000,USD (1),aqf,FAO global trade
Austria,2009,19000,USD (1),aqf,FAO global trade
Austria,2010,25000,USD (1),aqf,FAO global trade
Austria,2011,38000,USD (1),aqf,FAO global trade
Austria,2012,4000,USD (1),aqf,FAO global trade
Austria,2013,7000,USD (1),aqf,FAO global trade
Austria,2014,5000,USD (1),aqf,FAO global trade
Austria,2015,3000,USD (1),aqf,FAO global trade
Austria,2016,2000,USD (1),aqf,FAO global trade
Austria,2017,0,USD (1),aqf,FAO global trade
Austria,2018,4000,USD (1),aqf,FAO global trade
Austria,2019,0,USD (1),aqf,FAO global trade
Austria,2020,0,USD (1),aqf,FAO global trade
Austria,2021,0,USD (1),aqf,FAO global trade
Bahamas,1976,0,USD (1),aqf,FAO global trade
Bahamas,1977,0,USD (1),aqf,FAO global trade
Bahamas,1978,0,USD (1),aqf,FAO global trade
Bahamas,1979,0,USD (1),aqf,FAO global trade
Bahamas,1980,0,USD (1),aqf,FAO global trade
Bahamas,1981,0,USD (1),aqf,FAO global trade
Bahamas,1982,0,USD (1),aqf,FAO global trade
Bahamas,1983,0,USD (1),aqf,FAO global trade
Bahamas,1984,0,USD (1),aqf,FAO global trade
Bahamas,1985,0,USD (1),aqf,FAO global trade
Bahamas,1986,0,USD (1),aqf,FAO global trade
Bahamas,1987,0,USD (1),aqf,FAO global trade
Bahamas,1988,0,USD (1),aqf,FAO global trade
Bahamas,1989,0,USD (1),aqf,FAO global trade
Bahamas,1990,0,USD (1),aqf,FAO global trade
Bahamas,1991,0,USD (1),aqf,FAO global trade
Bahamas,1992,0,USD (1),aqf,FAO global trade
Bahamas,1993,0,USD (1),aqf,FAO global trade
Bahamas,1994,0,USD (1),aqf,FAO global trade
Bahamas,1995,0,USD (1),aqf,FAO global trade
Bahamas,1996,0,USD (1),aqf,FAO global trade
Bahamas,1997,0,USD (1),aqf,FAO global trade
Bahamas,1998,0,USD (1),aqf,FAO global trade
Bahamas,1999,0,USD (1),aqf,FAO global trade
Bahamas,2000,0,USD (1),aqf,FAO global trade
Bahamas,2001,0,USD (1),aqf,FAO global trade
Bahamas,2002,0,USD (1),aqf,FAO global trade
Bahamas,2003,0,USD (1),aqf,FAO global trade
Bahamas,2004,0,USD (1),aqf,FAO global trade
Bahamas,2005,0,USD (1),aqf,FAO global trade
Bahamas,2006,0,USD (1),aqf,FAO global trade
Bahamas,2007,0,USD (1),aqf,FAO global trade
Bahamas,2008,0,USD (1),aqf,FAO global trade
Bahamas,2009,0,USD (1),aqf,FAO global trade
Bahamas,2010,0,USD (1),aqf,FAO global trade
Bahamas,2011,0,USD (1),aqf,FAO global trade
Bahamas,2012,0,USD (1),aqf,FAO global trade
Bahamas,2013,2000,USD (1),aqf,FAO global trade
Bahamas,2014,0,USD (1),aqf,FAO global trade
Bahamas,2015,0,USD (1),aqf,FAO global trade
Bahamas,2016,0,USD (1),aqf,FAO global trade
Bahamas,2017,0,USD (1),aqf,FAO global trade
Bahamas,2018,0,USD (1),aqf,FAO global trade
Bahamas,2019,0,USD (1),aqf,FAO global trade
Bahamas,2020,0,USD (1),aqf,FAO global trade
Bahamas,2021,0,USD (1),aqf,FAO global trade
Bahrain,1976,0,USD (1),aqf,FAO global trade
Bahrain,1977,0,USD (1),aqf,FAO global trade
Bahrain,1978,0,USD (1),aqf,FAO global trade
Bahrain,1979,0,USD (1),aqf,FAO global trade
Bahrain,1980,0,USD (1),aqf,FAO global trade
Bahrain,1981,0,USD (1),aqf,FAO global trade
Bahrain,1982,0,USD (1),aqf,FAO global trade
Bahrain,1983,0,USD (1),aqf,FAO global trade
Bahrain,1984,0,USD (1),aqf,FAO global trade
Bahrain,1985,0,USD (1),aqf,FAO global trade
Bahrain,1986,0,USD (1),aqf,FAO global trade
Bahrain,1987,0,USD (1),aqf,FAO global trade
Bahrain,1988,0,USD (1),aqf,FAO global trade
Bahrain,1989,0,USD (1),aqf,FAO global trade
