comname,sciname,ico_gl,ico_rgn_id,iucn_sid,subpop,cat_2024,year,assess_year,cat,cat_txt,cat_score,eval_yr,cat_2024_score
Bryde's whale,Balaenoptera edeni,FALSE,16,2476,NA,LC,1985,NA,LC,Least Concern,0,NA,0
Bryde's whale,Balaenoptera edeni,FALSE,16,2476,NA,LC,1986,NA,LC,Least Concern,0,NA,0
Bryde's whale,Balaenoptera edeni,FALSE,16,2476,NA,LC,1987,NA,LC,Least Concern,0,NA,0
Bryde's whale,Balaenoptera edeni,FALSE,16,2476,NA,LC,1988,NA,LC,Least Concern,0,NA,0
Bryde's whale,Balaenoptera edeni,FALSE,16,2476,NA,LC,1989,NA,LC,Least Concern,0,NA,0
Bryde's whale,Balaenoptera edeni,FALSE,16,2476,NA,LC,1990,NA,LC,Least Concern,0,NA,0
Bryde's whale,Balaenoptera edeni,FALSE,16,2476,NA,LC,1991,NA,LC,Least Concern,0,NA,0
Bryde's whale,Balaenoptera edeni,FALSE,16,2476,NA,LC,1992,NA,LC,Least Concern,0,NA,0
Bryde's whale,Balaenoptera edeni,FALSE,16,2476,NA,LC,1993,NA,LC,Least Concern,0,NA,0
Bryde's whale,Balaenoptera edeni,FALSE,16,2476,NA,LC,1994,NA,LC,Least Concern,0,NA,0
Bryde's whale,Balaenoptera edeni,FALSE,16,2476,NA,LC,1995,NA,LC,Least Concern,0,NA,0
Bryde's whale,Balaenoptera edeni,FALSE,16,2476,NA,LC,1996,NA,LC,Least Concern,0,NA,0
Bryde's whale,Balaenoptera edeni,FALSE,16,2476,NA,LC,1997,NA,LC,Least Concern,0,NA,0
Bryde's whale,Balaenoptera edeni,FALSE,16,2476,NA,LC,1998,NA,LC,Least Concern,0,NA,0
Bryde's whale,Balaenoptera edeni,FALSE,16,2476,NA,LC,1999,NA,LC,Least Concern,0,NA,0
Bryde's whale,Balaenoptera edeni,FALSE,16,2476,NA,LC,2000,NA,LC,Least Concern,0,NA,0
Bryde's whale,Balaenoptera edeni,FALSE,16,2476,NA,LC,2001,NA,LC,Least Concern,0,NA,0
Bryde's whale,Balaenoptera edeni,FALSE,16,2476,NA,LC,2002,NA,LC,Least Concern,0,NA,0
Bryde's whale,Balaenoptera edeni,FALSE,16,2476,NA,LC,2003,NA,LC,Least Concern,0,NA,0
Bryde's whale,Balaenoptera edeni,FALSE,16,2476,NA,LC,2004,NA,LC,Least Concern,0,NA,0
Bryde's whale,Balaenoptera edeni,FALSE,16,2476,NA,LC,2005,NA,LC,Least Concern,0,NA,0
Bryde's whale,Balaenoptera edeni,FALSE,16,2476,NA,LC,2006,NA,LC,Least Concern,0,NA,0
Bryde's whale,Balaenoptera edeni,FALSE,16,2476,NA,LC,2007,NA,LC,Least Concern,0,NA,0
Bryde's whale,Balaenoptera edeni,FALSE,16,2476,NA,LC,2008,NA,LC,Least Concern,0,NA,0
Bryde's whale,Balaenoptera edeni,FALSE,16,2476,NA,LC,2009,NA,LC,Least Concern,0,NA,0
Bryde's whale,Balaenoptera edeni,FALSE,16,2476,NA,LC,2010,NA,LC,Least Concern,0,NA,0
Bryde's whale,Balaenoptera edeni,FALSE,16,2476,NA,LC,2011,NA,LC,Least Concern,0,NA,0
Bryde's whale,Balaenoptera edeni,FALSE,16,2476,NA,LC,2012,NA,LC,Least Concern,0,NA,0
Bryde's whale,Balaenoptera edeni,FALSE,16,2476,NA,LC,2013,NA,LC,Least Concern,0,NA,0
Bryde's whale,Balaenoptera edeni,FALSE,16,2476,NA,LC,2014,NA,LC,Least Concern,0,NA,0
Bryde's whale,Balaenoptera edeni,FALSE,16,2476,NA,LC,2015,NA,LC,Least Concern,0,NA,0
Bryde's whale,Balaenoptera edeni,FALSE,16,2476,NA,LC,2016,NA,LC,Least Concern,0,NA,0
Bryde's whale,Balaenoptera edeni,FALSE,16,2476,NA,LC,2017,NA,LC,Least Concern,0,NA,0
Bryde's whale,Balaenoptera edeni,FALSE,16,2476,NA,LC,2018,2018,LC,Least Concern,0,2018,0
Bryde's whale,Balaenoptera edeni,FALSE,16,2476,NA,LC,2019,NA,LC,Least Concern,0,2018,0
Bryde's whale,Balaenoptera edeni,FALSE,16,2476,NA,LC,2020,NA,LC,Least Concern,0,2018,0
Bryde's whale,Balaenoptera edeni,FALSE,16,2476,NA,LC,2021,NA,LC,Least Concern,0,2018,0
Bryde's whale,Balaenoptera edeni,FALSE,16,2476,NA,LC,2022,NA,LC,Least Concern,0,2018,0
Bryde's whale,Balaenoptera edeni,FALSE,16,2476,NA,LC,2023,NA,LC,Least Concern,0,2018,0
Bryde's whale,Balaenoptera edeni,FALSE,16,2476,NA,LC,2024,NA,LC,Least Concern,0,2018,0
Blue whale,Balaenoptera musculus,TRUE,NA,2477,NA,EN,1982,NA,EN,Endangered,0.6,NA,0.6
Blue whale,Balaenoptera musculus,TRUE,NA,2477,NA,EN,1983,NA,EN,Endangered,0.6,NA,0.6
Blue whale,Balaenoptera musculus,TRUE,NA,2477,NA,EN,1984,NA,EN,Endangered,0.6,NA,0.6
Blue whale,Balaenoptera musculus,TRUE,NA,2477,NA,EN,1985,NA,EN,Endangered,0.6,NA,0.6
Blue whale,Balaenoptera musculus,TRUE,NA,2477,NA,EN,1986,2018,EN,Endangered,0.6,1986,0.6
Blue whale,Balaenoptera musculus,TRUE,NA,2477,NA,EN,1987,NA,EN,Endangered,0.6,1986,0.6
Blue whale,Balaenoptera musculus,TRUE,NA,2477,NA,EN,1988,2018,EN,Endangered,0.6,1988,0.6
Blue whale,Balaenoptera musculus,TRUE,NA,2477,NA,EN,1989,NA,EN,Endangered,0.6,1988,0.6
Blue whale,Balaenoptera musculus,TRUE,NA,2477,NA,EN,1990,2018,EN,Endangered,0.6,1990,0.6
Blue whale,Balaenoptera musculus,TRUE,NA,2477,NA,EN,1991,NA,EN,Endangered,0.6,1990,0.6
Blue whale,Balaenoptera musculus,TRUE,NA,2477,NA,EN,1992,NA,EN,Endangered,0.6,1990,0.6
Blue whale,Balaenoptera musculus,TRUE,NA,2477,NA,EN,1993,NA,EN,Endangered,0.6,1990,0.6
Blue whale,Balaenoptera musculus,TRUE,NA,2477,NA,EN,1994,2018,EN,Endangered,0.6,1994,0.6
Blue whale,Balaenoptera musculus,TRUE,NA,2477,NA,EN,1995,NA,EN,Endangered,0.6,1994,0.6
Blue whale,Balaenoptera musculus,TRUE,NA,2477,NA,EN,1996,2018,EN,Endangered,0.6,1996,0.6
Blue whale,Balaenoptera musculus,TRUE,NA,2477,NA,EN,1997,NA,EN,Endangered,0.6,1996,0.6
Blue whale,Balaenoptera musculus,TRUE,NA,2477,NA,EN,1998,NA,EN,Endangered,0.6,1996,0.6
Blue whale,Balaenoptera musculus,TRUE,NA,2477,NA,EN,1999,NA,EN,Endangered,0.6,1996,0.6
Blue whale,Balaenoptera musculus,TRUE,NA,2477,NA,EN,2000,NA,EN,Endangered,0.6,1996,0.6
Blue whale,Balaenoptera musculus,TRUE,NA,2477,NA,EN,2001,NA,EN,Endangered,0.6,1996,0.6
Blue whale,Balaenoptera musculus,TRUE,NA,2477,NA,EN,2002,NA,EN,Endangered,0.6,1996,0.6
Blue whale,Balaenoptera musculus,TRUE,NA,2477,NA,EN,2003,NA,EN,Endangered,0.6,1996,0.6
Blue whale,Balaenoptera musculus,TRUE,NA,2477,NA,EN,2004,NA,EN,Endangered,0.6,1996,0.6
Blue whale,Balaenoptera musculus,TRUE,NA,2477,NA,EN,2005,NA,EN,Endangered,0.6,1996,0.6
Blue whale,Balaenoptera musculus,TRUE,NA,2477,NA,EN,2006,NA,EN,Endangered,0.6,1996,0.6
Blue whale,Balaenoptera musculus,TRUE,NA,2477,NA,EN,2007,NA,EN,Endangered,0.6,1996,0.6
Blue whale,Balaenoptera musculus,TRUE,NA,2477,NA,EN,2008,2018,EN,Endangered,0.6,2008,0.6
Blue whale,Balaenoptera musculus,TRUE,NA,2477,NA,EN,2009,NA,EN,Endangered,0.6,2008,0.6
Blue whale,Balaenoptera musculus,TRUE,NA,2477,NA,EN,2010,NA,EN,Endangered,0.6,2008,0.6
Blue whale,Balaenoptera musculus,TRUE,NA,2477,NA,EN,2011,NA,EN,Endangered,0.6,2008,0.6
Blue whale,Balaenoptera musculus,TRUE,NA,2477,NA,EN,2012,NA,EN,Endangered,0.6,2008,0.6
Blue whale,Balaenoptera musculus,TRUE,NA,2477,NA,EN,2013,NA,EN,Endangered,0.6,2008,0.6
Blue whale,Balaenoptera musculus,TRUE,NA,2477,NA,EN,2014,NA,EN,Endangered,0.6,2008,0.6
Blue whale,Balaenoptera musculus,TRUE,NA,2477,NA,EN,2015,NA,EN,Endangered,0.6,2008,0.6
Blue whale,Balaenoptera musculus,TRUE,NA,2477,NA,EN,2016,NA,EN,Endangered,0.6,2008,0.6
