iucn_sid,pop_trend,iucn_version,iucn_rgn
63579,Decreasing,2025-1,global
63580,Decreasing,2025-1,global
63585,Decreasing,2025-1,global
63587,Decreasing,2025-1,global
63591,Decreasing,2025-1,global
63593,Decreasing,2025-1,global
63596,Decreasing,2025-1,global
63598,Decreasing,2025-1,global
63612,Decreasing,2025-1,global
63614,Decreasing,2025-1,global
63622,Decreasing,2025-1,global
63646,Decreasing,2025-1,global
63653,Decreasing,2025-1,global
63852,Decreasing,2025-1,global
7859,Decreasing,2025-1,mediterranean
8005,Decreasing,2025-1,global
154804479,Decreasing,2025-1,global
14134315,Decreasing,2025-1,global
5375,Decreasing,2025-1,global
155236,Decreasing,2025-1,global
903,Decreasing,2025-1,global
198568,Decreasing,2025-1,global
15522229,Decreasing,2025-1,global
16421352,Decreasing,2025-1,global
16449708,Decreasing,2025-1,global
16449654,Decreasing,2025-1,global
161691,Decreasing,2025-1,mediterranean
161696,Decreasing,2025-1,mediterranean
63100,Decreasing,2025-1,mediterranean
161425,Decreasing,2025-1,mediterranean
91209505,Decreasing,2025-1,mediterranean
63120,Decreasing,2025-1,mediterranean
63131,Decreasing,2025-1,mediterranean
161397,Decreasing,2025-1,mediterranean
11200,Decreasing,2025-1,mediterranean
3853,Decreasing,2025-1,mediterranean
3854,Decreasing,2025-1,mediterranean
63149,Decreasing,2025-1,mediterranean
6229,Decreasing,2025-1,mediterranean
3855,Decreasing,2025-1,mediterranean
41876,Decreasing,2025-1,mediterranean
161626,Decreasing,2025-1,mediterranean
161485,Decreasing,2025-1,mediterranean
161484,Decreasing,2025-1,mediterranean
4292,Decreasing,2025-1,mediterranean
61408,Decreasing,2025-1,mediterranean
39388,Decreasing,2025-1,mediterranean
63153,Decreasing,2025-1,mediterranean
39341,Decreasing,2025-1,mediterranean
39352,Decreasing,2025-1,mediterranean
161461,Decreasing,2025-1,mediterranean
161464,Decreasing,2025-1,mediterranean
161339,Decreasing,2025-1,global
161339,Decreasing,2025-1,europe
